mileage,temperature,fuel_consumption,battery_voltage,engine_vibration,oil_level,tire_pressure,maintenance_risk
10000,70,7.5,12.7,1.0,95,32,Low
15000,72,7.8,12.6,1.1,90,32,Low
20000,75,8.0,12.6,1.2,88,31,Low
25000,78,8.5,12.5,1.4,85,32,Low
30000,80,8.8,12.4,1.5,82,31,Low
35000,82,9.0,12.4,1.7,80,31,Low
40000,85,9.5,12.2,2.0,75,30,Medium
45000,88,9.8,12.1,2.3,70,29,Medium
48000,95,10.2,11.8,3.5,55,27,Medium
50000,92,10.5,11.9,3.2,60,28,Medium
55000,96,10.8,11.7,3.6,55,27,Medium
60000,98,11.0,11.6,3.8,50,26,Medium
62000,100,11.5,11.5,4.0,48,25,High
65000,103,12.0,11.4,4.2,42,24,High
68000,106,12.5,11.3,4.5,38,23,High
70000,108,13.0,11.2,4.6,32,22,High
72000,110,13.5,11.2,4.8,25,22,High
75000,112,14.0,11.0,5.0,20,21,High
80000,115,14.5,10.9,5.2,15,20,High
85000,118,15.0,10.8,5.5,10,19,High
